 
==== Analyse Plant Illumination ====
 
Statistical Analysis of Nuclei with Regional Max =
    Area    MajorAxisLength    MinorAxisLength    Circularity    Perimeter    MeanIntensity    MinIntensity    MaxIntensity
    ____    _______________    _______________    ___________    _________    _____________    ____________    ____________

     39         9.5273             5.4608            1.1374       20.758         225.72            171             254     
     39         9.5273             5.4608            1.1374       20.758         5.5641              1              21     
     39         9.5273             5.4608            1.1374       20.758         8.8974              2              21     
     95         12.488             9.7628            1.1788       31.824         30.937             12              63     
     69         9.4086             9.4086            1.2632         26.2         63.739             38             105     
    177          16.33             14.006            1.1017       44.932         16.062              4              45     
     69         9.4086             9.4086            1.2632         26.2         104.13             48             183     
     78         10.505             9.5273            1.2361        28.16         14.205              2              34     
     78         10.505             9.5273            1.2361        28.16         20.782              5              46     
    128         16.528             10.093            1.0161       39.788         9.9297              1              36     
     69         9.4086             9.4086            1.2632         26.2         28.087              7              59     
     69         9.4086             9.4086            1.2632         26.2         63.333             26             114     
     82         10.935             9.6154            1.2242       29.012         92.902             46             144     
     78         10.505             9.5273            1.2361        28.16         56.718             33             100     
     69         9.4086             9.4086            1.2632         26.2         51.884             26              89     
     78         10.505             9.5273            1.2361        28.16         12.474              3              26     
     69         9.4086             9.4086            1.2632         26.2         72.043             40             119     
     69         9.4086             9.4086            1.2632         26.2         43.623             16              77     
     82         10.935             9.6154            1.2242       29.012         81.171             41             126     
     85         10.778             10.128            1.2219       29.566         19.212              5              42     
    165         16.029             13.387            1.0911       43.592         57.321             21             103     
     87         11.613             9.6204            1.2051        30.12         16.057              5              37     
     69         9.4086             9.4086            1.2632         26.2          89.13             32             142     
     78         10.505             9.5273            1.2361        28.16         220.87            125             254     
    118         13.588             11.183            1.1484       35.934         78.983             36             124     
     87         11.613             9.6204            1.2051        30.12         19.874              8              45     
     69         9.4086             9.4086            1.2632         26.2         11.768              3              36     
    114          12.58             11.641            1.1767       34.892         63.904             33             124     
    102         12.146             10.827            1.1819       32.932         45.147             19             101     
     69         9.4086             9.4086            1.2632         26.2          156.2             79             205     
     69         9.4086             9.4086            1.2632         26.2         100.04             57             146     
     92         11.372               10.4            1.2052       30.972         25.402              9              55     
     78         10.505             9.5273            1.2361        28.16         54.513             30             103     
     69         9.4086             9.4086            1.2632         26.2         39.899             19              65     
    119         14.762             10.398            1.1121        36.67         15.067              4              28     
    102          13.36             9.8192            1.1476        33.42         204.53            109             251     
     78         10.505             9.5273            1.2361        28.16         112.05             59             158     
     87         11.613             9.6204            1.2051        30.12         161.24             90             214     
     69         9.4086             9.4086            1.2632         26.2         84.754             49             120     
     69         9.4086             9.4086            1.2632         26.2          233.2            152             255     
     69         9.4086             9.4086            1.2632         26.2         30.928             10              68     
     69         9.4086             9.4086            1.2632         26.2         18.551              5              37     
    108         13.099             10.592            1.1633       34.156         34.352             19              57     
    130         13.602             12.384            1.1377       37.894         60.992             30             105     
     69         9.4086             9.4086            1.2632         26.2         74.957             41             115     
     69         9.4086             9.4086            1.2632         26.2         16.681              7              37     
     78         10.505             9.5273            1.2361        28.16         56.885             24              92     
     69         9.4086             9.4086            1.2632         26.2         67.826             34             117     
